Common column name	Column name of Table1	Column name of Table2	etc
항바이러스제 종류 Remdesivir	CMD_AVIRUSR__1	M1_AVIRUSR	
항바이러스제 종류 Others (기타)	CMD_AVIRUSO__1	M1_AVIRUSO	
항바이러스제 종류 Others (기타) 기술	CMD_AVIRUSOEXP__1	M1_AVIRUSOEXP	
경구 또는 정맥주사 또는 흡입 항생제 투여 여부	CMD_ABIOTIC__1	M1_ABIOTIC	
항생제 종류 Macrolides (eq. Azithromycin)	CMD_ABIOTICM__1	M1_ABIOTICM	
항생제 종류 Tetracyclines (eq. Doxycycline)	CMD_ABIOTICT__1	M1_ABIOTICT	
항생제 종류 Quinolones (eq. Levofloxacine)	CMD_ABIOTICQ__1	M1_ABIOTICQ	
"항생제 종류 Glycopeptides (eq. Vancomycin, Teicoplanin)"	CMD_ABIOTICG__1	M1_ABIOTICG	
항생제 종류 Beta lactams (with or without ESBL)	CMD_ABIOTICB__1	M1_ABIOTICB	
항생제 종류 Others (기타)	CMD_ABIOTICO__1	M1_ABIOTICO	
항바이러스제 종류 Others (기타) 기술	CMD_ABIOTICOEXP__1	M1_ABIOTICOEXP	
경구 또는 정맥주사 또는 흡입 스테로이드 투여 여부	CMD_STEROID__1	M1_STEROID	
스테로이드 종류 Dexamethasone	CMD_STEROIDD__1	M1_STEROIDD	
스테로이드 종류 Methylprednisolone	CMD_STEROIDM__1	M1_STEROIDM	
스테로이드 종류 Prednisone (prednisolone)	CMD_STEROIDP__1	M1_STEROIDP	
스테로이드 종류 Cortisone (hydrocortisone)	CMD_STEROIDC__1	M1_STEROIDC	
증상 여부	CMD_SYM	M1_SYM	
"발열(History of fever, ≥37.5℃)"	CMD_FEV	M1_FEV	
기침(Cough)	CMD_COUGH	M1_COUGH	
객담(Sputum production)	CMD_SPUTUM	M1_SPUTUM	
호흡곤란(Shortness of breath/Dyspnea)	CMD_BREATH	M1_BREATH	
인후염(Sore throat)	CMD_THROAT	M1_THROAT	
콧물(Runny nose/Rhinorrhea)	CMD_RHINO	M1_RHINO	
근육통(Muscle aches/Myalgia)	CMD_MUSCLE	M1_MUSCLE	
피로/권태(Fatigue/Malaise)	CMD_FATIGUE	M1_FATIGUE	
두통(Headache)	CMD_HEADACHE	M1_HEADACHE	
의식장애(Altered consciousness/confusion)	CMD_CONFU	M1_CONFU	
구토/오심(Vomiting/Nausea)	CMD_VOMIT	M1_VOMIT	
설사(Diarrhea)	CMD_DIARRHEA	M1_DIARRHEA	
기타 증상	CMD_ETC	M1_ETC	
기타 증상 기술	CMD_ETCEXP	M1_ETCEXP	
증상발생일	CMD_DDATE	M1_DDATE	
체온	CMD_TEMP__1	M1_TEMP	Different format in Table2 (    ) ℃
심박수	CMD_HRATE__1	M1_HRATE	Different format in Table2 (    ) /min
호흡수	CMD_BRATE__1	M1_BRATE	Different format in Table2 (    ) /min
수축기 혈압	CMD_SYSBP__1	M1_SYSBP	Different format in Table2 (    ) mmhg
이완기 혈압	CMD_RELBP__1	M1_RELBP	Different format in Table2 (    ) mmHg
산소포화도	CMD_OXYGEN__1	M1_OXYGEN	Different format in Table2 (    ) %
산소포화도 측정 시 산소치료 여부	CMD_OXYGENC__1	M1_OXYGENC	"Values switched: Table1 1=산소치료 받지 않음, 2=산소치료 받음, Table2 1=산소치료 받음, 2=산소치료 받지 않음"
의식수준(AVPU)	CMD_AVPU__1	M1_AVPU	
의식수준 (Glasgow Coma Scale)	CMD_GCS__1	M1_GCS	
Influenza Vaccination	CMD_INFLU__1	M1_INFLU	
Chest X-ray/CT Conducted	CMD_XRAY	M1_XRAY	
Chest X-ray/CT Pneumonia Finding	CMD_XRAYT	M1_XRAYT	
Bed Setting	CMD_SETTING	M2_SETTING	
Other Bed Setting	CMD_SETTINGC	M2_SETTINGC	
Nasal Prong Treatment	CMD_NPRONG	M2_NPRONG	
Nasal Prong Max Oxygen Flow	CMD_NPRONGO	M2_NPRONGO	
Facial Mask Treatment	CMD_MASK	M2_MASK	
Facial Mask Max Oxygen Flow	CMD_MASKO	M2_MASKO	
High Flow Nasal Cannula Treatment	CMD_HFNC	M2_HFNC	
High Flow Nasal Cannula Max Oxygen Flow	CMD_HFNCO	M2_HFNCO	
High Flow Nasal Cannula Max Oxygen Concentration	CMD_HFNCOC	M2_HFNCOC	
Non-Invasive Ventilation	CMD_NIV	M2_NIV	
Non-Invasive Ventilation Max Oxygen Concentration	CMD_NIVO	M2_NIVO	
Invasive Ventilation	CMD_IV	M2_IV	
Invasive Ventilation Max Oxygen Concentration	CMD_IVO	M2_IVO	
ECMO Treatment	CMD_ECMO	M2_ECMO	
NO Gas Treatment	CMD_NOGAS	M2_NOGAS	
CRRT Treatment	CMD_CRRT	M2_CRRT	
Prone Position	CMD_PRONE	M2_PRONE	
Blood Product Administration	CMD_BDRUG	M2_BDRUG	
Height	CMD_HEIGHT	M1_HEIGHT	"Table1 uses 서술형기입, while Table2 uses (    ) cm"
Weight	CMD_WEIGHT	M1_WEIGHT	"Table1 uses 서술형기입, while Table2 uses (    ) kg"
BMI	CMD_BMI	M1_BMI	"Table1 uses 서술형기입, while Table2 uses (    )"
Antiviral treatment	CMD_AVIRUS__2	M2_AVIRUS	 
Antiviral Remdesivir	CMD_AVIRUSR__2	M2_AVIRUSR	 
Antiviral Others	CMD_AVIRUSO__2	M2_AVIRUSO	 
Description Antiviral Others	CMD_AVIRUSOEXP__2	M2_AVIRUSOEXP	 
Antibiotics treatment	CMD_ABIOTIC__2	M2_ABIOTIC	 
Macrolides Antibiotics	CMD_ABIOTICM__2	M2_ABIOTICM	"Table1 uses 1=예, 2=아니오, Table2 adds specific type Macrolides (eq. Azithromycin)"
Tetracyclines Antibiotics	CMD_ABIOTICT__2	M2_ABIOTICT	"Table1 uses 1=예, 2=아니오, Table2 adds specific type Tetracyclines (eq. Doxycycline)"
Quinolones Antibiotics	CMD_ABIOTICQ__2	M2_ABIOTICQ	"Table1 uses 1=예, 2=아니오, Table2 adds specific type Quinolones (eq. Levofloxacine)"
Glycopeptides Antibiotics	CMD_ABIOTICG__2	M2_ABIOTICG	"Table1 uses 1=예, 2=아니오, Table2 adds specific type Glycopeptides (eq. Vancomycin, Teicoplanin)"
Beta lactams Antibiotics	CMD_ABIOTICB__2	M2_ABIOTICB	"Table1 uses 1=예, 2=아니오, Table2 adds specific type Beta lactams (with or without ESBL)"
Steroid treatment	CMD_STEROID__2	M2_STEROID	 
Dexamethasone Steroid	CMD_STEROIDD__2	M2_STEROIDD	 
Methylprednisolone Steroid	CMD_STEROIDM__2	M2_STEROIDM	 
Prednisone Steroid	CMD_STEROIDP__2	M2_STEROIDP	 
Plasma treatment	CMD_PLASMA__2	M2_PLASMA	 
Antibody treatment	CMD_ANTIBODY__2	M2_ANTIBODY	 
Serine protease inhibitor	CMD_INHIBITOR__2	M2_INHIBITOR	 
Clevudine	CMD_CLEVUDINE__2	M2_CLEVUDINE	 
Pyramax	CMD_PYRAMAX__2	M2_PYRAMAX	 
MK-4482	CMD_MK4482__2	M2_MK4482	 
Vasopressor	CMD_VASOPRESSOR__2	M2_VASOPRESSOR	 
DVT	CMD_DVT__2	M2_DVT	 
X-Ray	CMD_XRAY	M1_XRAY	 
X-Ray pneumonia	CMD_XRAYT	M1_XRAYT	 
Plasma Treatment	CMD_PLASMA__1	M1_PLASMA	
Antibody Treatment	CMD_ANTIBODY__1	M1_ANTIBODY	
Serine Protease Inhibitor Treatment	CMD_INHIBITOR__1	M1_INHIBITOR	
Clevudine Treatment	CMD_CLEVUDINE__1	M1_CLEVUDINE	
Pyramax Treatment	CMD_PYRAMAX__1	M1_PYRAMAX	
MK-4482 Treatment	CMD_MK4482__1	M1_MK4482	
Vasopressor Treatment	CMD_VASOPRESSOR__1	M1_VASOPRESSOR	
DVT Prophylaxis Treatment	CMD_DVT__1	M1_DVT	
Other Drugs	CMD_ETCDRUG__1	M1_ETCDRUG	
Name of Other Drugs	CMD_ETCDRUGN__1	M1_ETCDRUGN	
Temperature	CMD_TEMP__2	M2_TEMP	Different format in Table2
Heart Rate	CMD_HRATE__2	M2_HRATE	Different format in Table2
Breathing Rate	CMD_BRATE__2	M2_BRATE	Different format in Table2
Systolic BP	CMD_SYSBP__2	M2_SYSBP	Different format in Table2
Diastolic BP	CMD_RELBP__2	M2_RELBP	Different format in Table2
Oxygen Saturation	CMD_OXYGEN__2	M2_OXYGEN	Different format in Table2
Oxygen Treatment at Measurement	CMD_OXYGENC__2	M2_OXYGENC	Order of options reversed in Table2
AVPU Consciousness Level	CMD_AVPU__2	M2_AVPU	
Glasgow Coma Scale	CMD_GCS__2	M2_GCS	Different format in Table2
Shock	CMD_SHOCK	M2_SHOCK	
Bacteremia	CMD_BACTEREMIA	M2_BACTEREMIA	
ARDS	CMD_ARDS	M2_ARDS	
Cardiac Arrhythmia	CMD_CAA	M2_CAA	
Cardiomyopathy	CMD_CAM	M2_CAM	
Cardiac Arrest	CMD_CAAR	M2_CAAR	
Acute Renal Injury	CMD_ARI	M2_ARI	
Liver Dysfunction	CMD_LD	M2_LD	
Any Site Bleeding or DIC	CMD_ASBD	M2_ASBD	
Other Complications	CMD_ETCCOMP	M2_ETCCOMP	
Type of Other Complications	CMD_ETCCOMPEXP	M2_ETCCOMPEXP	
Final Status at Monitoring End	CMD_ER	M3_ER	
End Date of Monitoring	CMD_EDATE	M3_EDATE	
Isolation Status at Monitoring End	CMD_RINFO	M3_RINFO	
Date of Ending Isolation	CMD_RDATE	M3_RDATE	
